,content,engine,positions,pretty_url,pubdate,score,title,url,searchvalue,searchquery,ResponseCategory,country,contentDate,Date
0,"In addition to lockdown efforts, the German government has imposed a number of other restrictions on movement, including closing borders ...",startpage,[1],https://www.dw.com/en/germany-reports-[...]mpose-coronavirus-lockdowns/a-52871927,2020-03-22 00:36:33,1.0,Germany reports few violations as states impose coronavirus ...,https://www.dw.com/en/germany-reports-few-violations-as-states-impose-coronavirus-lockdowns/a-52871927,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,"In addition to lockdown efforts, the German government has imposed a number of other restrictions on movement, including closing borders",2020-03-22 00:36:33
1,"IDF brings 30 sailors back from Germany after country imposes lockdown. Navy troops, who had been preparing for acquisition of Sa'ar 6 ...",startpage,[2],https://www.timesofisrael.com/idf-brin[...]ermany-after-country-imposes-lockdown/,2020-03-23 00:36:33,0.5,IDF brings 30 sailors back from Germany after country imposes ...,https://www.timesofisrael.com/idf-brings-30-sailors-back-from-germany-after-country-imposes-lockdown/,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,"IDF brings 30 sailors back from Germany after country imposes lockdown. Navy troops, who had been preparing for acquisition of Sa'ar 6",2020-03-23 00:36:33
2,5 days ago ...,startpage,[3],https://www.thelocal.de/20200320/bavar[...]-first-german-state-to-impose-lockdown,,0.3333333333333333,UPDATE: Bavaria and Saarland become first German states to ...,https://www.thelocal.de/20200320/bavaria-becomes-first-german-state-to-impose-lockdown,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,2020-03-21,2020-03-21 00:00:00
3,5 days ago ...,startpage,[4],https://www.independent.co.uk/news/wor[...]own-today-bavaria-latest-a9413746.html,,0.25,Coronavirus: Germany introduces first lockdown as Bavaria imposes ...,https://www.independent.co.uk/news/world/europe/coronavirus-germany-update-lockdown-today-bavaria-latest-a9413746.html,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,2020-03-21,2020-03-21 00:00:00
4,France toughens its lockdown France has again tightened the rules ... Germany has responded to the rapid spread of the virus by imposing a ...,startpage,[5],https://www.ft.com/content/4ac1266a-436d-3128-b068-2d68ddc1485c,2020-03-25 00:36:33,0.2,Coronavirus: France's death toll tops 1000 – as it happened,https://www.ft.com/content/4ac1266a-436d-3128-b068-2d68ddc1485c,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,France toughens its lockdown France has again tightened the rules Germany has responded to the rapid spread of the virus by imposing a,2020-03-25 00:36:33
5,"The small Bavarian town of Mitterteich, the first in Germany to go into total lockdown over the spiraling coronavirus outbreak.",startpage,[6],https://www.thejakartapost.com/news/20[...]n-germany-to-impose-full-lockdown.html,2020-03-20 00:36:33,0.16666666666666666,Bavarian town is first in Germany to impose full lockdown - World ...,https://www.thejakartapost.com/news/2020/03/20/bavarian-town-is-first-in-germany-to-impose-full-lockdown.html,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,"The small Bavarian town of Mitterteich, the first in Germany to go into total lockdown over the spiraling coronavirus outbreak.",2020-03-20 00:36:33
6,"Coronavirus: National shutdown looms in Germany as Bavaria imposes total lockdown. Jill Petzinger. Jill Petzinger, Germany Correspondent, ...",startpage,[7],https://uk.finance.yahoo.com/news/coro[...]-imposes-total-lockdown-125154692.html,2020-03-21 00:36:33,0.14285714285714285,Coronavirus: National shutdown looms in Germany as Bavaria ...,https://uk.finance.yahoo.com/news/coronavirus-national-shutdown-looms-in-germany-as-bavaria-imposes-total-lockdown-125154692.html,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,"Coronavirus: National shutdown looms in Germany as Bavaria imposes total lockdown. Jill Petzinger. Jill Petzinger, Germany Correspondent,",2020-03-21 00:36:33
7,4 days ago ...,startpage,[8],https://www.express.co.uk/news/world/1[...]kdown-EU-Italy-Spain-BBC-Angela-Merkel,,0.125,Germany's crisis lockdown: BBC claim Merkel will shut down EU's ...,https://www.express.co.uk/news/world/1258438/Germany-crisis-coronavirus-lockdown-EU-Italy-Spain-BBC-Angela-Merkel,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,2020-03-22,2020-03-22 00:00:00
8,1 day ago ...,startpage,[9],https://www.theguardian.com/world/live[...]cases-meetings-bans-update-latest-news,,0.1111111111111111,WHO warns global spread of virus is accelerating – as it happened,https://www.theguardian.com/world/live/2020/mar/23/coronavirus-live-updates-uk-us-italy-germany-europe-outbreak-cases-meetings-bans-update-latest-news,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,2020-03-25,2020-03-25 00:00:00
9,5 days ago ...,startpage,[10],https://www.iamexpat.de/expat-info/ger[...]ws/bavaria-imposes-state-wide-lockdown,,0.1,Bavaria imposes state-wide lockdown,https://www.iamexpat.de/expat-info/german-expat-news/bavaria-imposes-state-wide-lockdown,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,2020-03-21,2020-03-21 00:00:00
10,"Italy's decision to quarantine a quarter of its population is sending tremors ... of the virus spiking to more than 1,000 in France and 900 in Germany, ... on the export of protective medical gear, which they imposed to head off ...",startpage,[1],https://www.nytimes.com/2020/03/08/world/europe/coronavirus-europe.html,2020-03-08 00:00:00,1.0,"Europe, With Eye on Italy Coronavirus Quarantine, Plans Next ...",https://www.nytimes.com/2020/03/08/world/europe/coronavirus-europe.html,quarantin+impose,germany+quarantin+impose,lockdown,germany,"Italy's decision to quarantine a quarter of its population is sending tremors of the virus spiking to more than 1,000 in France and 900 in Germany, on the export of protective medical gear, which they imposed to head off",2020-03-08 00:00:00
11,13 Mar 2020 ...,startpage,[2],https://www.iamexpat.de/expat-info/ger[...]ricting-travel-germany-due-coronavirus,,0.5,Which countries are restricting travel from Germany due to ...,https://www.iamexpat.de/expat-info/german-expat-news/which-countries-are-restricting-travel-germany-due-coronavirus,quarantin+impose,germany+quarantin+impose,lockdown,germany,2020-03-13,2020-03-13 00:00:00
12,Italy imposes region-wide coronavirus quarantine in Lombardy ... Read more: Coronavirus in Germany: Health care system under pressure.,startpage,[3],https://www.dw.com/en/italy-imposes-re[...]irus-quarantine-in-lombardy/a-52679158,2020-03-07 00:00:00,0.3333333333333333,Italy imposes region-wide coronavirus quarantine in Lombardy | DW ...,https://www.dw.com/en/italy-imposes-region-wide-coronavirus-quarantine-in-lombardy/a-52679158,quarantin+impose,germany+quarantin+impose,lockdown,germany,Italy imposes region-wide coronavirus quarantine in Lombardy Read more: Coronavirus in Germany: Health care system under pressure.,2020-03-07 00:00:00
13,"Coronavirus: Merkel goes into quarantine as Germany imposes extreme ... Jill Petzinger, Germany Correspondent, Yahoo Finance UK.",startpage,[4],https://finance.yahoo.com/news/coronav[...]-restrictions-on-public-175932312.html,2020-03-23 00:36:34,0.25,Coronavirus: Germany orders extreme restrictions on public life,https://finance.yahoo.com/news/coronavirus-merkel-goes-into-quarantine-as-germany-imposes-extreme-restrictions-on-public-175932312.html,quarantin+impose,germany+quarantin+impose,lockdown,germany,"Coronavirus: Merkel goes into quarantine as Germany imposes extreme Jill Petzinger, Germany Correspondent, Yahoo Finance UK.",2020-03-23 00:36:34
14,"German Chancellor Angela Merkel went into quarantine on Sunday after ... making sure to impose the same rules in principle across Germany,” ...",startpage,[5],https://www.thehindu.com/news/internat[...]th-infected-doctor/article31137970.ece,2020-03-23 00:36:34,0.2,Coronavirus | Germany's Merkel goes into quarantine after contact ...,https://www.thehindu.com/news/international/coronavirus-germanys-merkel-goes-into-quarantine-after-contact-with-infected-doctor/article31137970.ece,quarantin+impose,germany+quarantin+impose,lockdown,germany,"German Chancellor Angela Merkel went into quarantine on Sunday after making sure to impose the same rules in principle across Germany,”",2020-03-23 00:36:34
15,10 Mar 2020 ...,startpage,[6],https://www.thelocal.de/20200310/trave[...]ny-barred-from-entering-some-countries,,0.16666666666666666,These are the countries banning or restricting travel from Germany,https://www.thelocal.de/20200310/travelers-from-germany-barred-from-entering-some-countries,quarantin+impose,germany+quarantin+impose,lockdown,germany,2020-03-10,2020-03-10 00:00:00
16,"Macau imposes quarantine on arrivals from Japan, Germany, France, Spain (Update). 9 Mar, 2020. # Social Affairs, #Tourism ...",startpage,[7],https://macaunews.mo/macau-imposes-qua[...]ivals-from-japan-germany-france-spain/,2020-03-09 00:00:00,0.14285714285714285,"Macau imposes quarantine on arrivals from Japan, Germany ...",https://macaunews.mo/macau-imposes-quarantine-on-arrivals-from-japan-germany-france-spain/,quarantin+impose,germany+quarantin+impose,lockdown,germany,"Macau imposes quarantine on arrivals from Japan, Germany, France, Spain (Update). 9 Mar, 2020. # Social Affairs, #Tourism",2020-03-09 00:00:00
17,Germany tightened border checks and urged the cancellation of major events as authorities across Europe took action to contain the ...,startpage,[8],https://www.bloomberg.com/news/article[...]rantines-to-contain-coronavirus-spread,2020-02-28 00:00:00,0.125,Coronavirus News: Germany Steps Up Quarantines to Contain ...,https://www.bloomberg.com/news/articles/2020-02-28/germany-steps-up-quarantines-to-contain-coronavirus-spread,quarantin+impose,germany+quarantin+impose,lockdown,germany,Germany tightened border checks and urged the cancellation of major events as authorities across Europe took action to contain the,2020-02-28 00:00:00
18,... Hong Kong from all of Italy; Bourgogne-Franche-Comté and Grand Est in France; North Rhine-Westphalia in Germany; and Hokkaido in Japan.,startpage,[9],https://www.scmp.com/news/hong-kong/po[...]ng-planning-extend-travel-restrictions,2020-03-10 00:00:00,0.1111111111111111,Hong Kong to quarantine arrivals from Italy and parts of France ...,https://www.scmp.com/news/hong-kong/politics/article/3074380/coronavirus-hong-kong-planning-extend-travel-restrictions,quarantin+impose,germany+quarantin+impose,lockdown,germany,... Hong Kong from all of Italy; Bourgogne-Franche-Comté and Grand Est in France; North Rhine-Westphalia in Germany; and Hokkaido in Japan.,2020-03-10 00:00:00
19,"... start imposing travel restrictions and quarantine rules on arrivals from ... Germany and France have each recorded more than 1,100 infections ...",startpage,[10],https://www.scmp.com/news/hong-kong/po[...]kong-should-impose-travel-restrictions,2020-03-09 00:00:00,0.1,Coronavirus: Hong Kong urged to get tough on travel controls for ...,https://www.scmp.com/news/hong-kong/politics/article/3074213/coronavirus-hong-kong-should-impose-travel-restrictions,quarantin+impose,germany+quarantin+impose,lockdown,germany,"... start imposing travel restrictions and quarantine rules on arrivals from Germany and France have each recorded more than 1,100 infections",2020-03-09 00:00:00
20,16 Mar 2020 ...,startpage,[1],https://www.thelocal.de/20200316/germa[...]y-orders-closer-of-non-essential-shops,,1.0,Coronavirus: Germany orders closure of non-essential shops and ...,https://www.thelocal.de/20200316/germany-orders-closer-of-non-essential-shops,shutdown+shops,germany+shutdown+shops,lockdown,germany,2020-03-16,2020-03-16 00:00:00
21,"Coronavirus: Merkel announces sweeping shutdown in Germany ... that will be allowed to stay open include supermarkets, beverage shops, ...",startpage,[2],https://uk.finance.yahoo.com/news/merk[...]slow-coronavirus-spread-173908708.html,2020-03-16 00:00:00,0.5,Coronavirus: Merkel announces Germany shutdown of all but ...,https://uk.finance.yahoo.com/news/merkel-announces-sweeping-shutdown-of-all-but-essential-shops-to-slow-coronavirus-spread-173908708.html,shutdown+shops,germany+shutdown+shops,lockdown,germany,"Coronavirus: Merkel announces sweeping shutdown in Germany that will be allowed to stay open include supermarkets, beverage shops,",2020-03-16 00:00:00
22,Supermarkets and other shops that provide basic goods that are necessary for daily life will be allowed to stay open. Also excluded from ...,startpage,[3],https://www.spiegel.de/international/g[...]a-093655fd-386f-40b6-af01-e24a8cb02f6a,2020-03-16 00:00:00,0.3333333333333333,Drastic Measures: Germany Moves To Shut Down Most of Public Life,https://www.spiegel.de/international/germany/germany-moves-to-shut-down-most-of-public-life-a-093655fd-386f-40b6-af01-e24a8cb02f6a,shutdown+shops,germany+shutdown+shops,lockdown,germany,Supermarkets and other shops that provide basic goods that are necessary for daily life will be allowed to stay open. Also excluded from,2020-03-16 00:00:00
